route_id,stop_id,hour_of_day,day_of_week,is_weekend,stop_sequence,actual_delay_seconds,late_5min
Green,STOP_C,16,4,0,19,327.02167554025715,1
Blue,STOP_B,17,3,0,17,-177.64733955542277,0
Blue,STOP_C,12,3,0,10,-43.68701159093695,0
101,STOP_D,20,4,0,7,397.59313744897656,1
101,STOP_D,13,3,0,11,189.15569828712603,0
Blue,STOP_D,21,3,0,14,-105.25613721031516,0
Blue,STOP_C,16,4,1,10,274.98848321375505,0
101,STOP_A,17,5,0,18,104.99348170009448,0
Blue,STOP_C,15,3,1,15,438.7003121193526,1
101,STOP_D,21,4,1,12,-35.800918375118044,0
Blue,STOP_B,6,1,0,13,-256.3650053796405,0
Blue,STOP_A,6,1,0,13,490.45829380800785,1
101,STOP_A,16,5,0,15,56.63197944765898,0
Red,STOP_B,13,5,0,13,-70.95881731204517,0
101,STOP_D,14,5,1,13,296.7011358404992,0
Green,STOP_B,20,4,0,1,430.13680445153915,1
Blue,STOP_B,15,1,1,4,197.30370134846922,0
Red,STOP_A,10,3,0,8,745.6977758671736,1
101,STOP_D,10,2,1,9,820.4356885536164,1
Green,STOP_D,8,4,1,5,256.9298409378191,0
Red,STOP_A,16,0,0,1,173.2991508337206,0
101,STOP_A,8,0,0,18,225.17036558595515,0
Red,STOP_A,20,2,0,3,149.89828288422927,0
101,STOP_D,17,0,1,4,283.1043179779848,0
101,STOP_B,21,1,0,1,-322.01519647933185,0
101,STOP_C,11,3,1,5,461.28893410841494,1
Red,STOP_B,10,4,0,17,171.5122929981445,0
Green,STOP_D,15,3,1,4,-55.8330857189342,0
Red,STOP_A,20,4,0,19,579.992316254372,1
101,STOP_D,6,4,0,19,248.94966164207517,0
Blue,STOP_B,11,4,0,5,-53.52958189742262,0
Green,STOP_D,11,5,1,15,67.94621665256315,0
Green,STOP_D,16,2,1,10,26.57046836472867,0
101,STOP_D,9,1,1,15,853.7382202589456,1
Red,STOP_D,7,0,0,5,262.51790680211633,0
Green,STOP_B,20,5,1,17,-105.70385828073813,0
Red,STOP_D,14,2,0,13,401.1938586787073,1
Green,STOP_A,6,0,0,14,-47.30182988208736,0
Red,STOP_D,17,2,0,16,211.45108752522614,0
101,STOP_C,12,4,0,1,23.81300034133899,0
Red,STOP_D,21,5,1,18,546.8189521641239,1
Red,STOP_D,21,5,0,8,127.08142825263889,0
Red,STOP_A,16,2,0,15,371.08301619718804,1
Green,STOP_C,14,0,0,19,63.479079568704435,0
101,STOP_C,10,2,1,2,69.52691557827852,0
Green,STOP_D,20,3,1,9,181.3336951278038,0
101,STOP_B,18,5,0,10,502.81687027908185,1
101,STOP_B,8,3,0,9,249.2467595760781,0
101,STOP_A,13,3,0,14,29.595926174754823,0
Green,STOP_C,13,0,0,9,-138.6008654695587,0
Green,STOP_B,14,2,0,19,328.4037585519428,1
Green,STOP_B,13,2,0,16,174.68406340325265,0
Green,STOP_A,21,1,0,6,68.37729069739655,0
101,STOP_A,7,0,0,14,170.57940906892136,0
Green,STOP_D,19,0,1,18,-236.16848126465004,0
Red,STOP_A,19,3,1,16,-400.11992815237284,0
Blue,STOP_D,15,5,0,6,803.6412695896789,1
Blue,STOP_D,20,5,1,13,284.6858841114597,0
101,STOP_D,21,1,0,8,184.72269736155636,0
101,STOP_B,11,0,0,18,-141.88169918410722,0
Green,STOP_B,19,3,0,14,115.83698544102242,0
Red,STOP_A,21,3,1,4,104.53752751913729,0
Blue,STOP_D,18,1,1,5,431.389308008216,1
Red,STOP_C,16,3,0,18,353.85592102124986,1
Green,STOP_B,8,2,0,11,276.6709556676144,0
Red,STOP_D,10,2,0,11,-272.6313026552657,0
Green,STOP_A,6,0,1,2,238.89024154168712,0
Blue,STOP_D,15,5,0,14,-240.2007398491691,0
Blue,STOP_B,10,3,0,12,691.7287258156797,1
101,STOP_A,19,0,0,9,152.60370470351742,0
Red,STOP_A,10,2,0,6,-241.5138564119854,0
Red,STOP_C,13,5,1,13,28.83467780127357,0
Blue,STOP_A,18,3,0,8,264.8422068591868,0
101,STOP_B,18,0,1,1,718.3085886017464,1
101,STOP_B,8,4,0,9,411.7918063526971,1
101,STOP_B,11,4,0,19,-247.86693733627993,0
101,STOP_A,8,3,0,19,-140.94204837619995,0
Green,STOP_C,9,3,1,5,560.2327032966355,1
Red,STOP_C,18,1,1,9,150.15269954059835,0
Red,STOP_B,14,5,1,15,337.7067079688243,1
101,STOP_A,6,2,0,19,357.2185766984172,1
Red,STOP_C,8,0,0,3,213.71382962260412,0
Green,STOP_D,11,2,0,19,140.48418262042543,0
Blue,STOP_A,17,2,0,1,263.3966986026626,0
101,STOP_A,14,3,0,6,-227.48473266608545,0
101,STOP_C,16,1,0,4,796.1370425060837,1
Blue,STOP_D,15,0,0,6,-427.1259387635531,0
101,STOP_D,6,2,0,16,-400.42160724146197,0
Red,STOP_C,11,3,0,14,10.25450498948284,0
Blue,STOP_A,10,4,0,14,5.348436226729234,0
Green,STOP_A,7,2,0,16,-355.9816878942575,0
Green,STOP_D,11,1,1,8,960.1567873043575,1
Blue,STOP_C,10,3,0,11,81.96196989237616,0
Green,STOP_C,13,4,0,2,99.17539302386234,0
Blue,STOP_A,15,2,1,17,418.36849573927236,1
Red,STOP_D,16,5,0,5,179.7787766218662,0
Red,STOP_D,8,0,0,18,985.2464007142721,1
Green,STOP_C,10,0,0,4,282.8681513775987,0
Green,STOP_B,6,0,0,14,311.28431098907424,1
Red,STOP_A,9,1,1,12,697.9133781414893,1
Red,STOP_B,9,3,0,1,100.73739015415609,0
Red,STOP_A,19,2,1,5,66.12171069386338,0
Green,STOP_C,13,3,0,13,281.7615646078692,0
Blue,STOP_C,21,0,1,8,401.6571610315902,1
101,STOP_B,6,4,0,9,-25.16831687331495,0
Red,STOP_A,18,5,1,4,620.977120375732,1
Red,STOP_A,7,0,0,18,8.551958443421725,0
Blue,STOP_C,8,4,0,5,371.45116563161486,1
Green,STOP_C,18,3,1,14,566.350173003694,1
Red,STOP_B,18,1,0,12,441.49137568890677,1
Green,STOP_D,7,5,0,14,606.654098206068,1
Green,STOP_A,14,5,0,1,-147.54374069452433,0
Red,STOP_D,18,0,1,10,-50.00773949380158,0
Red,STOP_C,11,4,1,4,270.8737682432172,0
Blue,STOP_C,9,4,0,14,209.3761645164396,0
Blue,STOP_B,17,4,0,13,-607.9050513493171,0
Green,STOP_B,6,2,0,5,-228.12000239491812,0
101,STOP_D,16,0,1,2,468.1389814085113,1
Blue,STOP_A,8,5,0,9,570.62443505876,1
101,STOP_C,16,3,0,6,529.9643481683465,1
Blue,STOP_C,7,1,0,14,313.8448076068447,1
Green,STOP_C,15,4,1,10,70.68478637783863,0
101,STOP_A,21,5,1,10,162.01154541354114,0
Red,STOP_C,9,4,0,4,381.3785926828572,1
101,STOP_D,7,4,0,6,460.32298208075156,1
101,STOP_A,20,3,0,3,-94.5173623451395,0
Red,STOP_B,21,5,1,14,250.37516587650896,0
Green,STOP_C,10,1,0,19,-373.73651974288487,0
101,STOP_D,11,4,1,2,328.7027617574264,1
Green,STOP_C,10,3,0,12,-57.599383430585874,0
101,STOP_C,18,1,1,5,429.925188142343,1
Red,STOP_A,10,5,0,15,29.855630516824775,0
Red,STOP_A,6,4,1,3,382.60470656014036,1
Blue,STOP_A,10,3,0,11,367.03009150957155,1
Blue,STOP_B,11,2,0,6,589.8416538441318,1
Blue,STOP_A,20,5,1,7,-376.1121646330077,0
101,STOP_B,13,3,1,13,163.97972068229654,0
Red,STOP_C,20,0,0,2,-226.9445381156828,0
Red,STOP_D,16,2,0,1,368.94943903361525,1
Green,STOP_B,9,4,0,17,464.04493703483837,1
Blue,STOP_B,16,3,0,2,689.2299005935029,1
101,STOP_A,17,5,0,2,-38.26470118184977,0
Blue,STOP_D,9,4,0,17,553.7265650545428,1
Blue,STOP_D,15,1,0,14,-176.69144310288135,0
Red,STOP_D,17,3,0,12,104.86728761232905,0
Green,STOP_D,9,5,0,6,42.41431343997232,0
Green,STOP_C,11,0,0,1,72.98050464400563,0
101,STOP_B,19,1,0,5,299.811740179801,0
Red,STOP_A,18,4,0,15,557.3087131963179,1
Blue,STOP_C,7,1,0,14,58.08635621986315,0
101,STOP_B,19,1,0,15,-191.57313559064494,0
Red,STOP_C,15,2,0,16,381.39419470032925,1
Green,STOP_C,17,0,0,5,379.8122033448194,1
101,STOP_D,19,5,0,17,-368.18103841648104,0
101,STOP_C,6,2,0,19,-109.89589178944664,0
101,STOP_A,11,0,0,17,539.4044971373528,1
Green,STOP_A,21,5,0,1,135.32311925146567,0
Red,STOP_B,11,5,0,9,-115.2591666457067,0
Green,STOP_D,17,5,0,10,170.55917609175202,0
101,STOP_C,15,1,0,14,-131.6106232315811,0
Green,STOP_A,10,3,0,3,-206.07810738491065,0
101,STOP_B,16,5,0,12,776.3478655936374,1
101,STOP_A,13,3,0,17,-28.519730447105275,0
101,STOP_B,17,5,1,11,95.48380644481571,0
Red,STOP_A,12,4,0,8,566.8818001327234,1
Green,STOP_A,7,5,0,7,266.75474790496276,0
Blue,STOP_A,20,4,0,12,-72.56170563559155,0
Red,STOP_C,6,5,1,1,501.94010722730116,1
Red,STOP_A,9,0,0,6,83.13022359552954,0
Red,STOP_C,6,3,0,7,705.9767780389909,1
Red,STOP_B,8,5,0,13,341.0669879752942,1
101,STOP_B,9,0,0,14,-435.9107146822199,0
Red,STOP_B,20,3,0,5,2.572184628164919,0
Red,STOP_C,14,5,1,4,501.57179551177774,1
Red,STOP_C,18,4,1,6,178.26614124805548,0
Blue,STOP_D,17,2,0,16,187.4931296358796,0
Green,STOP_A,19,0,0,6,842.1010597518267,1
Green,STOP_D,8,0,0,13,898.4650476836686,1
Red,STOP_C,17,5,0,2,531.8667387851506,1
Red,STOP_B,10,1,1,16,77.50157540184935,0
Blue,STOP_B,6,2,0,17,-118.69485741352327,0
Blue,STOP_B,6,2,1,10,279.0273182313137,0
Blue,STOP_C,9,2,0,8,696.1829818749454,1
Red,STOP_A,9,2,1,3,369.19834003274514,1
101,STOP_A,8,2,0,14,528.4275222613699,1
Blue,STOP_D,15,0,0,12,67.07895580147829,0
Green,STOP_B,10,1,0,17,101.15569388705755,0
Red,STOP_A,20,3,0,11,228.6830128219647,0
Blue,STOP_C,18,2,0,4,-120.15260171952536,0
Red,STOP_A,13,2,0,12,-390.25342706666396,0
Green,STOP_A,18,4,0,10,128.72130107127649,0
Blue,STOP_C,20,4,0,19,-258.5492215569641,0
Green,STOP_A,14,1,0,5,-167.69373717469722,0
Blue,STOP_D,6,0,0,10,27.68619030947599,0
Green,STOP_D,19,4,1,18,-353.092299691732,0
Green,STOP_A,10,3,0,5,84.9874628967452,0
Red,STOP_C,12,3,1,6,380.3803592942064,1
Blue,STOP_A,9,5,0,17,229.6669298477151,0
Red,STOP_C,12,4,0,9,608.5792856190471,1
101,STOP_A,20,2,0,1,424.6796738522957,1
101,STOP_B,12,4,0,9,11.018067731117057,0
101,STOP_B,18,4,1,18,695.8529920616769,1
Blue,STOP_C,18,0,0,13,146.80014992700418,0
Red,STOP_C,20,0,0,3,99.05074079453108,0
Red,STOP_A,13,3,0,19,149.0022415458584,0
Blue,STOP_B,6,0,0,10,448.4199084269168,1
Green,STOP_A,21,5,0,10,321.2041186754145,1
Green,STOP_C,7,3,0,6,410.73538902522625,1
Red,STOP_B,7,3,0,1,261.09206183959975,0
Blue,STOP_A,11,3,0,19,236.15955136699364,0
Red,STOP_C,15,0,1,16,189.16922059994994,0
101,STOP_A,12,0,0,18,59.01753528680375,0
Blue,STOP_D,7,0,0,1,407.3810030611321,1
101,STOP_A,6,4,1,1,363.5528945719202,1
Green,STOP_B,14,1,0,14,310.3988065039648,1
101,STOP_A,9,0,1,8,582.9664698684526,1
Red,STOP_C,18,3,1,7,730.8630456643614,1
Blue,STOP_D,17,0,0,5,880.1151219129436,1
Red,STOP_D,8,4,0,9,52.96120715970511,0
Green,STOP_B,15,5,1,17,277.86222398066906,0
Blue,STOP_B,9,2,0,17,348.9931994787361,1
Blue,STOP_A,16,3,1,17,114.14043800229291,0
Red,STOP_A,19,0,1,13,252.51659773141898,0
Blue,STOP_D,17,5,0,4,435.7302938361381,1
Red,STOP_A,10,0,0,2,-487.6325392411477,0
Green,STOP_C,11,4,1,3,292.85769854333347,0
101,STOP_D,13,2,1,9,469.6011165678643,1
Blue,STOP_C,13,0,0,7,-219.840649970051,0
Green,STOP_C,17,0,0,2,286.08718650390585,0
Red,STOP_C,14,0,1,14,208.78941841437296,0
Red,STOP_A,11,1,0,5,432.9631167900153,1
Blue,STOP_A,10,3,1,18,83.2285674805052,0
Red,STOP_A,10,2,0,1,-79.09675589005056,0
Green,STOP_B,7,5,1,8,190.592158811032,0
Red,STOP_C,9,2,0,4,632.020311334951,1
Green,STOP_A,9,4,0,10,487.2752767011268,1
Green,STOP_C,8,3,0,15,373.67800236314486,1
Blue,STOP_C,16,2,0,10,26.60532908913197,0
Blue,STOP_B,9,2,1,18,53.5144724263684,0
Red,STOP_A,16,3,0,17,-216.81813269688385,0
101,STOP_C,18,5,1,12,-81.15439090634149,0
Red,STOP_C,9,2,0,19,497.6855134327312,1
Green,STOP_D,12,3,0,14,195.27011271887443,0
Green,STOP_D,12,3,0,19,506.82136438157215,1
Green,STOP_C,12,5,0,4,537.9152942459814,1
Red,STOP_D,16,0,0,15,82.9772157288063,0
101,STOP_B,11,0,0,10,-56.93254443543117,0
Green,STOP_C,21,2,1,19,-657.9606947847727,0
Red,STOP_D,15,3,0,16,-29.742517668399785,0
101,STOP_A,9,5,0,17,107.37057047846045,0
Blue,STOP_C,11,1,0,14,164.82040436663553,0
Green,STOP_C,19,0,0,15,78.8615551536832,0
Red,STOP_C,15,2,0,17,100.93143918284682,0
Green,STOP_C,18,1,0,1,1318.418566722036,1
Green,STOP_B,19,2,0,2,-104.7287499000912,0
101,STOP_B,18,2,0,3,752.7270170539275,1
Red,STOP_C,17,0,0,11,145.8155056969526,0
Blue,STOP_A,10,0,0,13,298.34667878876314,0
Green,STOP_D,16,3,0,6,-166.08011861123828,0
Green,STOP_C,11,1,1,6,168.56861382757324,0
101,STOP_A,9,2,0,2,284.35850887052015,0
Blue,STOP_A,17,3,0,16,153.87913098601607,0
101,STOP_A,21,3,1,1,-296.9558342019771,0
Red,STOP_A,13,1,1,15,0.9813407192657166,0
Blue,STOP_C,17,2,1,6,806.8415514947357,1
Red,STOP_C,14,0,0,14,200.20202338233042,0
Blue,STOP_B,16,1,1,1,288.85718939280343,0
Green,STOP_B,11,3,0,16,293.8974795079953,0
Red,STOP_D,9,5,0,14,273.18922279383753,0
Blue,STOP_B,12,4,1,14,455.83067100269596,1
Blue,STOP_D,14,5,0,7,749.9123632269446,1
101,STOP_B,10,3,0,8,239.75293366087234,0
Red,STOP_B,10,4,1,2,74.63119701104026,0
101,STOP_D,7,0,1,3,571.2710101978173,1
Red,STOP_B,17,5,1,14,27.447663686532024,0
101,STOP_A,6,4,0,14,389.42463306932797,1
Blue,STOP_B,12,3,0,17,93.04751547867194,0
101,STOP_D,15,5,0,1,217.05333584277395,0
Blue,STOP_C,14,0,0,2,98.97380938827271,0
101,STOP_D,11,0,0,2,249.0139518394793,0
Red,STOP_B,21,4,0,19,-92.91225509843684,0
Blue,STOP_C,10,0,0,8,-45.01692502198583,0
Red,STOP_C,8,5,0,18,541.7699331903572,1
Blue,STOP_A,16,4,0,7,-161.7522570775815,0
Blue,STOP_B,14,5,0,10,346.9557839144986,1
101,STOP_A,13,0,0,19,-6.68417467292052,0
Blue,STOP_A,8,3,1,4,379.94455948924383,1
101,STOP_C,17,3,1,9,372.07504604163074,1
Blue,STOP_C,19,2,0,2,-177.83470026425334,0
Blue,STOP_C,21,0,0,19,105.48816530648094,0
Red,STOP_C,10,0,0,4,64.77517594208344,0
101,STOP_D,9,1,1,1,198.12456238820272,0
Blue,STOP_B,11,3,0,6,154.65750972126915,0
Green,STOP_C,15,1,0,10,10.01729694470194,0
Green,STOP_B,19,0,0,16,484.3377043443233,1
Red,STOP_A,9,4,0,7,936.116946411232,1
Green,STOP_B,20,1,0,11,407.25047276148,1
Blue,STOP_C,7,2,0,18,-73.9696250971447,0
Green,STOP_C,7,2,1,12,676.813096097769,1
Red,STOP_C,6,0,0,1,173.22074410399887,0
Blue,STOP_C,18,4,0,8,720.9370715048645,1
Red,STOP_A,14,0,0,18,108.70570246758174,0
Red,STOP_C,14,1,0,16,-25.64016990138623,0
101,STOP_D,10,5,0,11,633.8842561391816,1
Red,STOP_B,7,5,0,3,417.562798404192,1
Red,STOP_C,14,0,0,14,114.52817303373978,0
Red,STOP_A,18,1,0,18,426.68354074049853,1
Red,STOP_D,8,0,0,9,295.3371510884455,0
101,STOP_B,14,4,0,1,-253.211934448132,0
Blue,STOP_A,8,1,1,5,477.19745234524675,1
Red,STOP_C,9,4,0,2,978.8145931989603,1
Green,STOP_D,12,1,0,9,-220.27123927727172,0
Blue,STOP_B,17,0,0,2,31.09290496710922,0
Blue,STOP_D,6,4,0,1,307.9613012234308,1
Red,STOP_B,8,4,1,19,830.112664676684,1
101,STOP_C,8,1,1,5,349.99368682889326,1
Green,STOP_B,7,1,0,2,246.02034192972462,0
Green,STOP_B,8,4,0,7,110.60234965804378,0
Green,STOP_A,20,2,1,12,-922.963395154534,0
Red,STOP_D,21,3,0,3,-332.025751905403,0
101,STOP_D,15,0,1,13,184.62048055283447,0
101,STOP_A,12,3,0,17,290.30660470892593,0
Green,STOP_C,12,1,1,15,-458.0316228132684,0
Blue,STOP_A,9,3,1,17,124.39510723647948,0
Green,STOP_B,7,3,0,13,318.3435293079225,1
Red,STOP_B,16,1,1,5,149.6395570513245,0
Green,STOP_B,10,3,0,8,71.69202999026399,0
Red,STOP_C,10,5,0,17,139.81881796203885,0
Red,STOP_C,7,5,0,10,1238.6019169480023,1
Red,STOP_A,14,4,0,1,69.88212324060271,0
Red,STOP_D,6,5,0,8,104.44488493870448,0
Green,STOP_D,14,2,1,8,-584.675926577577,0
Blue,STOP_B,16,0,0,16,581.2779498212499,1
101,STOP_B,16,3,0,3,528.4961678424426,1
Green,STOP_D,15,0,0,18,545.9772498220133,1
Red,STOP_C,21,5,0,10,366.84832909870374,1
101,STOP_A,9,5,1,4,370.7787553954565,1
Green,STOP_D,17,1,0,17,-132.9219849132328,0
Red,STOP_A,7,1,0,7,1079.889986752627,1
101,STOP_B,12,4,0,9,-173.37597708828417,0
101,STOP_A,8,1,0,16,129.06108106269784,0
Red,STOP_B,13,2,0,3,335.4167109700939,1
Green,STOP_A,19,1,1,5,560.706380312078,1
101,STOP_B,9,3,0,19,36.58787002033401,0
Blue,STOP_B,13,0,1,12,-373.7857463315184,0
101,STOP_C,21,2,0,3,-58.611136513261016,0
Red,STOP_A,20,3,0,10,176.37974110415115,0
Green,STOP_B,12,2,0,17,211.66458055613947,0
Blue,STOP_B,7,0,1,15,-89.29549810373754,0
Green,STOP_C,8,0,0,13,232.99015976099417,0
Blue,STOP_B,20,0,0,19,-268.6268255120722,0
Green,STOP_C,14,0,0,4,284.3865417976756,0
Red,STOP_B,9,1,1,8,371.823871770526,1
Blue,STOP_A,8,0,0,3,666.5715504318608,1
Green,STOP_A,19,5,0,17,-62.68290491671439,0
101,STOP_A,17,1,1,5,-172.70267105365073,0
101,STOP_D,13,3,1,2,17.168829531004704,0
Blue,STOP_D,17,0,1,18,197.0769025391308,0
101,STOP_D,19,4,1,4,-201.4795743444626,0
Blue,STOP_D,16,1,0,7,-119.45023406545005,0
101,STOP_B,10,4,1,17,295.93319269230744,0
Green,STOP_B,20,2,1,5,-330.43761701914735,0
Green,STOP_D,14,3,0,9,57.74428844950181,0
101,STOP_B,14,4,0,1,-289.5865557492832,0
Green,STOP_C,18,3,1,19,803.3915667795038,1
101,STOP_B,21,5,0,4,-130.5411331683981,0
Green,STOP_D,8,3,0,4,-61.357271848218886,0
Red,STOP_C,9,0,0,4,987.3554283510307,1
101,STOP_D,15,3,0,2,-203.4362083754794,0
101,STOP_A,21,1,1,8,-219.79374511551526,0
Red,STOP_C,13,3,0,4,-46.78282192058535,0
Red,STOP_B,9,4,0,2,572.6105933633695,1
Blue,STOP_A,16,1,0,9,552.3386770299323,1
Blue,STOP_A,17,4,0,6,-253.80351585703173,0
Blue,STOP_C,12,1,1,6,214.04747515166517,0
Green,STOP_B,12,0,0,14,1019.448649589206,1
101,STOP_D,21,0,0,8,90.15138316644935,0
Blue,STOP_B,17,2,0,1,817.9804634534117,1
Red,STOP_C,21,4,0,4,276.3050987930502,0
Blue,STOP_B,21,1,0,10,-19.189142730229065,0
Green,STOP_A,9,5,0,17,263.0058183516972,0
Green,STOP_D,15,1,0,2,-406.417528740851,0
101,STOP_D,16,5,0,5,391.91622060211745,1
101,STOP_C,11,5,0,2,493.29140705358924,1
Blue,STOP_A,9,2,0,12,-255.8247667506962,0
Red,STOP_B,10,0,1,1,-276.3864070611314,0
Red,STOP_A,13,5,0,4,315.7821099058831,1
Blue,STOP_D,6,5,0,10,12.429821847154088,0
Red,STOP_B,14,1,0,13,455.68030162596267,1
Red,STOP_C,17,0,0,15,352.4204811307187,1
101,STOP_C,6,4,0,1,291.89611224530756,0
Blue,STOP_A,14,0,0,19,-379.32329963609897,0
101,STOP_C,11,4,0,16,26.38086439292897,0
Red,STOP_C,14,4,1,5,89.49199482606043,0
Blue,STOP_A,15,1,0,4,-245.4904104332204,0
101,STOP_A,19,5,0,11,91.04418819416904,0
Blue,STOP_C,8,4,0,14,300.47719094646334,1
101,STOP_D,11,1,0,16,295.76016087891423,0
101,STOP_B,8,0,1,13,70.35333405360782,0
Red,STOP_C,20,5,0,19,205.33221965039687,0
Red,STOP_A,6,0,1,2,-278.8864813031845,0
Green,STOP_D,13,3,0,12,-75.05055000547708,0
Green,STOP_A,20,4,0,2,-99.97582681107315,0
101,STOP_D,18,1,0,1,643.1098672839357,1
Blue,STOP_D,20,2,0,18,301.74877711158047,1
Green,STOP_B,14,5,1,10,154.66467378871715,0
Red,STOP_A,14,2,0,1,737.9421390689516,1
Red,STOP_D,13,5,0,7,-25.218725138305842,0
Blue,STOP_C,14,4,0,15,947.0061052058892,1
Red,STOP_B,13,4,0,4,-9.823396720025727,0
Green,STOP_A,18,1,0,12,116.5954856931422,0
Green,STOP_B,9,4,1,16,299.49754029904864,0
101,STOP_A,7,5,0,8,365.0781436679548,1
101,STOP_B,7,2,0,15,630.3158993893759,1
101,STOP_D,15,4,1,8,72.6358711463752,0
Green,STOP_C,6,1,0,16,343.7067218427545,1
101,STOP_C,16,0,0,18,-304.9214730682153,0
Red,STOP_B,17,4,0,10,-288.5921394728065,0
Blue,STOP_C,21,1,0,15,65.43504945445409,0
Red,STOP_D,15,4,1,5,-36.66051669905954,0
Green,STOP_D,17,5,0,18,246.72082774233118,0
101,STOP_C,17,2,0,7,490.6231702406331,1
Green,STOP_D,19,4,0,6,90.58691000317629,0
Red,STOP_A,13,0,0,1,237.1918761838235,0
Green,STOP_C,8,0,0,11,280.76757739286006,0
Green,STOP_D,21,0,1,13,-57.8974682615675,0
101,STOP_B,17,2,1,19,171.09403221991417,0
Green,STOP_D,17,1,0,3,117.61068999782388,0
